Source,Number of articles
kuntalgoswami_wordpress_com.txt,2
dr_joypurhat_gov_bd.txt,2
bengali_cri_cn.txt,470
testedflashfile_blogspot_com.txt,1
doict_kalapara_patuakhali_gov_bd.txt,3
ceb_wikipedia_org.txt,2
kholamone_wordpress_com.txt,39
uddoktarkhoje_com.txt,326
www_sylheteshop_com.txt,9
bangladeshprotidin_com_pandastats_net.txt,2
makeislamiclife_xtgem_com.txt,6
banglakitab_com.txt,7
abosar_com.txt,2
tube_pornomovs_com.txt,931
bike_com_bd.txt,1777
www_janatabank_bd_com.txt,4
amadernabinagar24_wordpress_com.txt,2
hathazari_chittagong_gov_bd.txt,317
tcb_gov_bd.txt,166
projanmo_com_incom_pk.txt,1
blog_devskill_com.txt,11
deo_feni_gov_bd.txt,2
moumachi_net.txt,10
edas_com_bd.txt,2
ishurdi_pabna_gov_bd.txt,3
storybd4u_blogspot_com.txt,20
indiannicegirls_blogspot_com.txt,4
olivineltd_com.txt,2
videos68_com.txt,15
www_dailyreportbd_com.txt,10
bdjokesghar_blogspot_com.txt,18
www_miuibd_com.txt,7
jonotarnews24_com.txt,64
insuf1soft_blogspot_com.txt,4
starbanglanews_net.txt,54
akhonsamoy_com.txt,973
pennpoem_wordpress_com.txt,5
www_tangailpbs_org.txt,8
porinam_blogspot_no.txt,3
www_bangladeshitv_com.txt,1
bdlove99_com.txt,43
binodontimes_com.txt,21
www_kncollege_gov_bd.txt,32
shilpakala_kurigram_gov_bd.txt,2
www_techtweets_net.txt,74
www_llli_net.txt,1
indiaforyou_in.txt,1
ami_shei_nari_blogspot_com.txt,1
furfura_com.txt,3
samakalnews24_com.txt,12
www_racearchive_org_uk.txt,1
uplbooks_com.txt,197
www_carvideotube_com.txt,11
24h_com_ph.txt,3
robinashraful_blogspot_com.txt,1
explosives_gov_bd.txt,9
maimonidesmed_org.txt,4
dao_sylhetdiv_gov_bd.txt,2
newspaperhunt_blogspot_com.txt,3
www_academickids_com.txt,1
religion_alltop_com.txt,1
blog_motlob_com.txt,30
asianskyshopindia_com.txt,1
www_appleheli_com.txt,1
www_bdtuner_com.txt,50
rupashibng_com.txt,3
exness_com_incom_pk.txt,1
yhrisouthasia_ning_com.txt,1
appfiiser_gounboxing_com.txt,5
opsurgerycenter_com.txt,1
my_winners_blogspot_fr.txt,1
urc_sonatala_bogra_gov_bd.txt,2
savings_sylhet_gov_bd.txt,2
lakshmipurbarta_net_bd.txt,1
mojamasti_com.txt,51
gkdesignbd_com.txt,129
atelecommunication_blogspot_com.txt,38
health_amardesh_com.txt,17
www_sotophone_com.txt,145
ffbd_org.txt,2
india2017_co_in.txt,1
ocenacele_blogspot_com.txt,25
dhakacrimenews24_com.txt,43
apkpc_com.txt,2
heyevent_com.txt,175
www_awgs_edu_bd.txt,5
sumber_berita_online_blogspot_com.txt,28
training_liveoutsource_com.txt,9
zettabyte_gadgets_com.txt,3
www_job_com_bd.txt,7
mjsbholahat_blogspot_com.txt,12
cainbangladesh_wordpress_com.txt,44
techcprograms_blogspot_in.txt,3
uz_wikipedia_org.txt,3
lawrenceburke_org.txt,1
www_bangladeshconsulate_hk.txt,6
www_buxaccepted_com.txt,6
www_talkingstreet_in.txt,10
ethxblog_blogspot_ca.txt,1
mobtrickbd_yu_tl.txt,20
entdinglichung_wordpress_com.txt,6
ningmp3_com_webstatsdomain_org.txt,1
serversdeminecraft_com.txt,3
filessearch_blogspot_com.txt,3
easylinux_info.txt,201
carport_elementhaus_de.txt,1
